ID,Name,Website,Description,Geographical extent,Geographic coverage Country,Geographic coverage  NUTS 2021,Responsible Organization,Responsible  Organization  Category,Functions of Government  (COFOG level I),Functions of Government  (COFOG level II),Status,Start Year,End Year,AI Classification (I),AI Classification  Subdomain (II) (Main),AI Classification  Subdomain (II) (Other I),AI Classification  Subdomain (II) (Other II),AI Classification  Subdomain (II) (Other III),AI Keywords (III),Process Type,Application Type,Technology,Interaction,Data Scope 1,Data Scope 2,Improved Public Service,Personalized Services,Public (citizen)-centered services,Increase quality of PSI and services,More responsive; efficient; and cost-effective public services,New services or channels,Improved Administration,Improved Administrative Efficiency,Cost-reduction,Responsiveness of government operation,Improved management of public resources,Increased quality of processes and systems,Better collaboration and better communication,Reduced or eliminate the risk of corruption and abuse of the law by public servants,Enabled greater fairness; honesty; equality,Open government capabilities,Increased transparency of public sector operations,Increased public participation in government actions and policy making,Improved public control and influence on government actions and policies,Source
30,Texta Toolkit - Identifying documents published without authorisation,https://www.keeletehnoloogia.ee/en,The Ministry of Education and Research performed a document management audit using the Texta Toolkit; which was aimed at identifying the documents that had been published without authorisation (e.g. internal documents; personal data; etc.). During the audit; more than 1;200;000 documents were analysed; converted into machine-readable form and had the personal data removed. In collaboration with the Centre of Registers and Information Systems; the Ministry of Justice removed; using Texta; personal data from nearly 80;000 court decisions involving information about punishments deleted from the Criminal Records Database and republished the decisions in the Court Information System. Texta Toolkit grew out of industrial research in the Software Technology and Applications Competence Center (STACC) and its development has been supported from the Estonian Language Technology programme.,National,Estonia,EE,Ministry of Education and Research,Central-Government,General public services,General services.,Implemented,2020,,Communication,Natural language processing,Machine learning,Automated reasoning,,text analysis,Enforcement,Predictive enforcement processes,Artificial Intelligence,G2G,Dynamic Data,Streaming Data,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,x,,x,,,,FALSE,,,,https://www.texta.ee/home
31,Datel - Speed cameras for detecting speeding violations,https://www.datel.eu/en/solutions/e-government-solutions/item/417,Probably one of the most “visible” types of AI applications in Estonia are the speed cameras developed by an Estonian company Datel; which identify the license plate number on the photos of speeding cars using a machine learning algorithm. Based on the license plate number identified; the system finds the data required to conduct procedural acts; assesses the causality of speeding and imposes a penalty if necessary. Then the Police and Border Guard Board official conducting the proceedings verifies the data and signs the operation.,National,Estonia,EE,Police and Border Guard,Central-Government,Public order and safety,Police Services,Implemented,2019,,Perception,Computer vision,Machine learning,,,,Enforcement,Smart Recognition processes,Artificial Intelligence,G2G,Dynamic Data,Location Data,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,x,x,,,x,x,FALSE,,,,Survey 1st Peer Learning Workshop AI Watch
32,Traffic load - Machine vision for collecting information on traffic load,,The Tallinn transport Dep. started developing a machine vision application in autumn 2018 in collaboration with Sifr OU. The main objective of this application is to identify the traffic load within Tallinn; i.e. how many cars drive in and out of the city in a day in order to make city transport planning related decisions based on such data (e.g. parking issues; road construction; etc.). Three cameras were selected on intersections in Tallinn to train the application to count the vehicles passing by the cameras. The training of the application was a crucial process in developing the solution since there was no ready-made solution available that suited the circumstances of Tallinn. The result is an application that uses machine vision to count buses; cars; lorries and motorcycles and in the future hopefully also pedestrians; cyclists and like with a 70% accuracy on the traffic load in a certain area when previously there no such information available at all. ,Local,Estonia,EE,Public Transport and Traffic Management Transport Board in Tallinn,Local Government,Economic affairs,Transport,Implemented,2018,,Perception,Computer vision,Machine learning,,,,Enforcement,Smart Recognition processes,Artificial Intelligence,G2G,Dynamic Data,Location Data,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,x,,x,,,,FALSE,,,,https://www.kratid.ee/tlt-kasutuslugu
33,X-Road AI - Detect anomalies and incidents in Data Exchange Layer, https://e-estonia.com/wp-content/uploads/2020-april-facts-ai-strategy.pdf,The Information System Authority (RIA) uses an AI application to detect anomalies and incidents in Data Exchange Layer (X-road) monitoring. Essentially; previous data exchange periods are compared with the current one and differences are sought. If the system is unable to identify whether a situation is erroneous or permitted; the system user currently has to decide. Based on the feedback; the system learns how to make better decisions and will be able to detect anomalies and incidents more accurately in the future.,National,Estonia,EE,State Information Systems Board RIA,Central-Government,General public services,General public services n.e.c.,Implemented,2020,,Learning,Machine learning,Automated reasoning,Planning and Scheduling,,data anomalies detection,Analysis; monitoring and regulatory research,Information analysis processes,Artificial Intelligence,G2C,Dynamic Data,Location Data,Improved Public Service,,,x,x,,FALSE,FALSE,,,,,,,,FALSE,,,,https://www.kratid.ee/ria-kasutuslugu
34,SUVE - Chatbot for questions about emergency situations,https://investinestonia.com/estonia-created-suve-an-automated-chatbot-to-provide-trustworthy-information-during-the-covid-19-situation/,The websites of several Estonian government agencies use Suve; an automated chatbot which provides answers to frequently asked questions about the emergency situation and the coronavirus. The chatbot provides answers to questions in Estonian and English and uses information from the official sources of government agencies. The development of the Chatbot is the result of a hackathon which was organized in the early weeks of the COVID-19 outbreaks in Europe. Together with the Estonian start-up community; Suve was developed in rapid fashion. By using official information from government agencies; the role of Chatbot is to provide trustworthy information regarding the coronavirus and emergency situation in Estonia and to tackle misinformation.   https://www.valitsus.ee/en/news/chatbot-will-help-you-find-answers-your-questions-about-crisis,National,Estonia,EE,Estonian Investment Agency (EIA),Central-Government,Health,Public health services.,Implemented,2020,,Communication,Natural language processing,Searching,,,chatbot,Public services and engagement,Service integration (various),Artificial Intelligence,G2C,Dynamic Data,Dynamic Data,Improved Public Service,,x,,x,,FALSE,FALSE,,,,,,,,FALSE,,,,https://eebot.ee/
35,Kamu - Chatbot about immigration processes , https://migri.fi/en/chat1,Kamu is a chatbot used by the Finnish Immigration Service that gives general advice to citizens about immigration processes or about the process of the application. ,National,Finland,FI,Finnish Immigration Service,Central-Government,General public services,General public services n.e.c.,Implemented,2020,,Communication,Natural language processing,Searching,,,chatbot,Public services and engagement,Service personalisation (various),Artificial Intelligence,G2C,Dynamic Data,Dynamic Data,Improved Public Service,,,x,x,x,FALSE,FALSE,,,,,,,,FALSE,,,,https://migri.fi/en/chat1
36,PatRek - Chatbot for business,http://www.startingupsmoothly.fi/,Chatbot to answer questions with regard to setting up a company in Finland based on the Finnish Chatbot Platform,National,Finland,FI,Finnish Patent and Registration Office,Central-Government,Economic affairs,General economic; commercial and labour affair,Implemented,2020,,Communication,Natural language processing,Machine learning,,,chatbot,Public services and engagement,Engagement management,Artificial Intelligence,G2C,Dynamic Data,Dynamic Data,Improved Public Service,,x,,,,Open Government Capabilities,FALSE,,,,,,,,Open government capabilities,x,,,http://www.startingupsmoothly.fi/ and https://medium.com/inland/valtionhallinnon-chatbot-verkosto-neuvoo-ulkomaalaisia-yrityksen-perustamisessa-44eb1e0c4443
37,Helsinki HUH - Intensive care for premature baby,https://www.helsinki.fi/en/news/healthier-world/artificial-intelligence-evaluate-brain-maturity-preterm-infants,AI system to follow the intensive care of premature baby and equipment. The AI is more accurate to notice some signals better than the doctors; based on IBM Watson.  The system works 24/7 without any breaks. This should ensure a better care system for the premature baby; living rate; suport for personal and improved trust in healthcare.,Local,Finland,FI,Helsinki University Hospital,Local Government,Health,Hospital services.,Implemented,2017,,Learning,Machine learning,Automated reasoning,,,,Analysis; monitoring and regulatory research,Prediction and planning ,Artificial Intelligence,G2G,Dynamic Data,Dynamic Data,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,x,,x,x,,,,FALSE,,,,1st Peer Learning Workshop AI Watch
38,OuluBot - Virtual assistant for business, https://www.ouka.fi/oulu/oulubot/english,The City of Oulu has started a project co-financed by Business Finland; which aims to build a chatbot service; OuluBot. The goal for OuluBot is to become a virtual assistant in all everyday issues; whether they concern tourism; companies or city services. The answer or guidance to an electronic service should be provided regardless of time; place; medium and language. Technically; chatbot retrieves information e.g. relevant City of Oulu websites; chat history; guidance information; databases; and other information sources. OuluBot is available 24/7 service. independent of working hours. If the user is looking for information that OuluBot would not be able to answer; then during office hours the discussion could be directed to the City of Oulu chat service (Oulu10 general counseling customer service).,Local,Finland,FI,Municipality of Oulu,Local Government,General public services,Executive and legislative organs; financial and fiscal affairs; external affairs.,Implemented,2020,,Communication,Natural language processing,Searching,,,chatbot,Public services and engagement,Service personalisation (various),Artificial Intelligence,G2C,Dynamic Data,Dynamic Data,Improved Public Service,,,x,x,x,FALSE,FALSE,,,,,,,,FALSE,,,,https://www.ouka.fi/oulu/oulubot/
39,AuroraAI  - Programme with many AI examples.,https://vm.fi/documents/10623/13292513/AuroraAI+development+and+implementation+plan+2019%E2%80%932023.pdf/7c96ee87-2b0e-dadd-07cd-0235352fc6f9/AuroraAI+development+and+implementation+plan+2019%E2%80%932023.pdf,One of the experimental applications that has been run during the AuroraAI programme focused on the “moving to a place of study” life-event. Two cities involved (Tampere and Turku) carried out well-being surveys among its student populations; and - based on its results - clustered the students into the groups in need of different support. The study has discovered that factors such as reliability of the public transportation; and quality of the natural environment plays an important role in students’ well-being. Data retrieved from the study helped create a new cross-cutting public offering - a bot that would supply information about the topics that students found important. The uptake of the new service has been lackluster; leading the authorities to believe that only proactive marketing could change customers’ behaviour. Also it has been concluded that in order to pursue such projects further; municipalities need to develop user experience awareness and data analytics skills. ,National,Finland,FI,Munipality of Tampere and Turku,Local Government,Health,Health n.e.c.,Implemented,2021,,Learning,Machine learning,Automated reasoning,Automated reasoning,,,Public services and engagement,Service personalisation (various),Artificial Intelligence,G2C,Dynamic Data,Location Data,Improved Public Service,x,x,,x,,FALSE,FALSE,,,,,,,,FALSE,,,,https://www.sciencedirect.com/science/article/pii/S0308596120300689
40,VeroBot - Chatbot for citizens about tax management ,https://www.vero.fi/en/e-file/mytax/,The Finnish Tax Administration has published a joint chatbot service together with the Immigration Service and the Patent and Registration Office. The service includes three different chatbots. They utilise Artificial Intelligence to answer customers' questions. The bots know about work related taxation; immigration and business registration in Finland. At the moment the target group is entrepreneurs from outside Finland. The chatbot service is currently in the trial stage and available only in English. The service is open until the end of June 2019. You can test the chatbot yourself on the tax.fi page. More information at:  https://www.vero.fi/en/About-us/contact-us/chat_with_the_tax_authoritie/,National,Finland,FI,Finnish Tax Administration,Central-Government,Economic affairs,General economic; commercial and labour affair,Not in use anymore,2019,,Communication,Natural language processing,Searching,,,chatbot,Public services and engagement,Service personalisation (various),Artificial Intelligence,G2C,Dynamic Data,Dynamic Data,Improved Public Service,,,x,x,x,FALSE,FALSE,,,,,,,,FALSE,,,,https://www.vero.fi/en/About-us/contact-us/chat_with_the_tax_authoritie/
41,French Fraud - Fraud detection value declarations,https://www.aiforhumanity.fr/pdfs/MissionVillani_Report_ENG-VF.pdf,A supervised deep mining algorithm is used by French customs in order to detect fraud with value declarations and to analyze cases of identiy fraud or import trafficiking.,National,France,FR,French Customs,Central-Government,Public order and safety,Police Services,Implemented,2018,,Learning,Machine learning,Automated reasoning,Knowledge representation,,,Enforcement,Supporting inspection processes,Artificial Intelligence,G2G,Historical Data,Historical Data,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,x,,x,,,x,FALSE,,,,French AI Strategy - https://www.aiforhumanity.fr/pdfs/MissionVillani_Report_ENG-VF.pdf
42,RenoiRH - Chatbot in HR management rules to facilitate access,https://www.youtube.com/watch?v=J0cFEJh8f70,Interministerial Center for IT Services Relating to Human Resources (CISIRH) has developed a chatbot specialized in HR management rules to facilitate access to information. The public service includes a large number of standards; nomenclatures and written rules such as those relating to the mobility of agents and their career development.,National,France,FR,Interministerial Center for IT Services Relating to Human Resources,Central-Government,General public services,Executive and legislative organs; financial and fiscal affairs; external affairs.,Pilot,2018,,Communication,Natural language processing,Knowledge representation,,,chatbot,Internal management,Internal support processes,Artificial Intelligence,G2C,Dynamic Data,Dynamic Data,Improved Public Service,,,x,x,x,FALSE,FALSE,,,,,,,,FALSE,,,,https://www.soprahr.com/docs/librariesprovider45/Documents/customer-testimonials---temoignage-clients/t%C3%A9moignage_le-cisirh-innove-avec-son-chatbot-rh-docx.pdf?sfvrsn=7eb4345b_2
43,SignauxFaibles - Predictive analysis of business difficulties,,The detection of weak signals; which indicate a deterioration in the company's situation; makes it possible to identify more early the companies on which support actions can be offered to the company manager. The innovations relate to: (1) The development of a detection algorithm that uses relevant data and variables and effectively detects companies in difficulty (URSSAF; DIRECCTE; Banque de France data; etc.); (2) The development of a data loading computer system capable of regularly and automatically refreshing data from operational databases. The objective is to dynamically detect 2 to 5 new SMEs per month on the scale of Bourgogne Franche-Comté. Expected impacts in terms of digital transformation: an even more effective decentralized State action to support weakened companies. Ultimately; it is a real “secure social network” centered on the company which will become the daily tool of public actors mobilized around companies in difficulty.,National,France,FR,Ministry of the Economy; Finance and Recovery - General Directorate of Enterprises (DGE) / Ministry of Labor (DGEFP),Central-Government,Economic affairs,General economic; commercial and labour affair,Implemented,2014,2019,Learning,Machine learning,Automated reasoning,Knowledge representation,,,Analysis; monitoring and regulatory research,Prediction and planning ,Artificial Intelligence,G2B,Historical Data,Historical Data,Improved Public Service,,,x,x,,FALSE,FALSE,,,,,,,,FALSE,,,,https://beta.gouv.fr/startups/signaux-faibles.html
44,Aria - Chatbot answering retired people,https://www.lassuranceretraite.fr/portail-info/sites/pub/hors-menu/actualites-nationales/retraite/2018/page-9.html ,"National Old Age Insurance Fund (Cnav) is working  with ""Aria""; a chatbot for aswering requests made by retirees; . This chatbot can tell you the amount of income you have declared to the tax authorities; the calendar of next payments; what the direct debit will consist of; etc. ; ""Aria will be able to speak; will respond to non-retirees and will be able to tackle a larger number of subjects"".",National,France,FR,National Old Age Insurance Fund (Cnav),Central-Government,General public services,Executive and legislative organs; financial and fiscal affairs; external affairs.,Implemented,2018,,Communication,Natural language processing,Searching,,,chatbot,Public services and engagement,Service integration (various),Artificial Intelligence,G2C,Dynamic Data,Dynamic Data,Improved Public Service,,x,,,,Open Government Capabilities,FALSE,,,,,,,,Open government capabilities,x,,,https://www.lasecurecrute.fr/actualites/innovation-l-assurance-retraite-presente-son-chatbot
45,Datakalab - Covid-19 Mask wearing  detection In some French cities,https://www.bfmtv.com/tech/trop-intrusives-les-cameras-de-detection-de-masques-desactivees-a-paris-et-a-cannes_AN-202006220163.html ,France has authorised the use of surveillance cameras to monitor whether passengers on public transport are abiding by the requirement to wear masks. However; France’s data protection watchdog CNIL called out the practice; saying it was not governed by any legal framework and was therefore illegal. The authority began a three-month test of its software from French tech company Datakalab this week at the Chatelet-Les-Halles station in the heart of Paris; normally used by about 33 million passengers per year. Monitors will have access to a dashboard with the proportion of riders believed to be wearing masks. The plan was mask wearing mandatory in public transport from May 2019. The AI was regarded to be able to supplement enforcement agents in stations. Still; CNIL; the government body in charge of privacy; raised concerns that this type of technology carries a risk that the identity of the people being analyzed could be reconstructed.,National,France,FR,Public transport,Central-Government,Health,Health n.e.c.,Not in use anymore,2020,,Perception,Computer vision,Machine learning,,,,Enforcement,Supporting inspection processes,Artificial Intelligence,G2C,Dynamic Data,Dynamic Data,Improved Public Service,,,x,x,,FALSE,FALSE,,,,,,,,FALSE,,,,https://www.bbc.com/news/world-europe-52529981
46,LaBonneBoîte - Identification of companies with a high probability of hiring,https://ec.europa.eu/social/BlobServlet?docId=20605&langId=en,"La Bonne Boite is an online tool that identifies companies with a high probability of hiring within the next six months in the sector and area selected by the seeker. The objective of La Bonne Boite is to help jobseekers find job opportunities that are not published by employers (i.e. ""hidden vacancies"") and to predict which companies are most likely to hire in the near  future. La Bonne Boite is one of the most used job searching services in France and it is about to be further developed in order to target more specific types of jobseekers; like students; that are looking for part-time jobs. This search engine improves a jobseeker's chance of securing a job interview on the basis of spontaneous job applications. La Bonne Boite's computer code can be copied and used by others. There is also an Application Programming Interface (API) which enables the duplication of La Bonne Boite on other websites. ",National,France,FR,Pôle emploi,Central-Government,Social protection,Unemployment.,In development,2016,,Planning,Automated reasoning,Knowledge representation,,,,Public services and engagement,Service integration (various),Artificial Intelligence,G2G,Historical Data,Location Data,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,x,,x,,,x,FALSE,,,,https://ec.europa.eu/social/BlobServlet?docId=20605&langId=en
47,ClaudIA - Chatbot for the invoicing portal for purchases by public authorities, ,"Chatbot Claudia has been setup by the AIFE (State Financial IT Agency) for users of the information system Chorus of SME's and microbusinesses. This chatbot; is based on IBM's Watson Artificial Intelligence technology. The AIFE indicates that the number of support contacts ""has not stopped increasing; going from 20;000 per month to more than 40;000 (with a peak at 55;000 in January) all channels combined (phone calls; files; live chat ; emails; avatar; chatbot). The requests handled manually by level 1 support operators now represent a volume of more than 15;000 per month (18;000 in January!). The AIFE anticipates a doubling of support requests each year. Before Claudia; only half of the requests were processed automatically. Today; the rate has risen to 65%. “In two months; ClaudIA handled more than 10;000 conversations; with an average of 3.5 interactions per conversation;” says AIFE. Claudia takes the user context into account and knows how to detect inappropriate interactions.",National,France,FR,State Financial IT Agency,Central-Government,General public services,Executive and legislative organs; financial and fiscal affairs; external affairs.,Implemented,2018,,Communication,Natural language processing,Searching,,,chatbot,Internal management,Internal support processes,Artificial Intelligence,G2C,Dynamic Data,Dynamic Data,Improved Public Service,,x,,,,Open Government Capabilities,FALSE,,,,,,,,Open government capabilities,x,,,https://www.cio-online.com/actualites/lire-chorus-pro-aussi-aide-ses-utilisateurs-avec-un-chatbot-10199.html
48,IAlim - Targeting restaurant health inspections,https://agriculture.gouv.fr/telecharger/116478?token=34e41e9143e50e1be2324f7d9bf7f7fceffe7183e5e97acb34d333c90a70b5a6,Since November 2019; Ministry of Agriculture inspectors have been able to use “Food AI” (IAlim) to assist them in targeting their restaurant health inspections more effectively. Refine the targeting of establishments to be inspected in the direct-to-consumer delivery sector (restaurants; food service businesses; distributors) through consumer feedback on online notification sites. ,National,France,FR,The General Food Directorate (DGAL) of the Ministry of Agriculture and Food ,Central-Government,Health,Public health services.,Implemented,2017,2019,Planning,Searching,Machine learning,,,,Enforcement,Supporting inspection processes,Artificial Intelligence,G2G,Historical Data,Historical Data,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,x,x,,x,,,,FALSE,,,,https://www.etalab.gouv.fr/intelligence-artificielle-decouvrez-les-6-projets-laureats-de-lappel-a-manifestation-dinteret-ia
49,OpenJustice - Open case law; pseudonymization and enrichment of court decisions, ,The Court of Cassation ; in conjunction with the Ministry of Justice; wishes to develop automatic learning techniques in order to identify the data to be pseudonymized in court decisions before making them accessible and reusable. The results of this work will profoundly transform the dissemination of case law; strengthen the consistency of decisions rendered and citizens' confidence in the judiciary; they can be widely applied to other types of data.This machine learning model to automatically pseudonymize case law data and foster open data of case law. . Aims to foster open data and the development of legal tech start ups,National,France,FR,,Central-Government,Public order and safety,Law courts,In development,2019,,Learning,Machine learning,Searching,,,,Public services and engagement,Data Sharing Management,Artificial Intelligence,G2B,Dynamic Data,Streaming Data,Improved Public Service,,,x,x,,Open Government Capabilities,FALSE,,,,,,,,Open government capabilities,x,,,https://entrepreneur-interet-general.etalab.gouv.fr/defis/2019/openjustice.html
50,Poland - Fraud Detection COVID-19 support,https://www.experian.com.pl/en/business/identity-and-fraud/fraud-prevention-responses,AI system supporting fraud prevention. It consists in automatic verification of statements submitted in applications; mainly financial data from National Tax Administration and The Social Insurance Institution databases. Additionally; some irregularities are analyzed; e.g. too high amounts in relation to the number of employees. Among other things the system analyzes the criterion of a decline in turnover. It must be directly related to the pandemic and not; for example; to a failed business plan or a failed investment. The system will also examine what the subsidy money was spent on. - The rule is that financial subsidy money can only be used to pay for business expenses. The above mentioned information are the only available sources describing the system and were shared with the press by the Polish Development Fund which is responsible for granting subsidies.,National,Poland,PL,,Central-Government,General public services,Executive and legislative organs; financial and fiscal affairs; external affairs.,Implemented,2019,,Learning,Machine learning,Automated reasoning,Knowledge representation,,fraud detection,Adjudication,Taking decisions on benefits  ,Artificial Intelligence,G2G,Historical Data,Historical Data,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,x,,x,,,,FALSE,,,,alGOVrithms 2.0 report  https://opendatakosovo.org/wp-content/uploads/2021/03/ODK_alGOVrithms-2-0_report-2021_1.pdf?x54370
51,Germany's Federal Office for Migrants and Refugees - Refugee Language Detection,https://www.dw.com/en/automatic-speech-analysis-software-used-to-verify-refugees-dialects/a-37980819,Germany's Federal Office for Migrants and Refugees uses a voice recognition software that seeks to identify which country migrants without documentation are from. The Federal Office for Migrants and Refugees said the automated new system would begin within two weeks. The aim is to detect Arabic-speaking migrants claiming to be Syrian to increase their chances of asylum. The new software will run alongside techniques already in use to establish a person's identity. A variety of data will be examined; including the asylum-seeker's documentation; before a final decision is made. If necessary; officials will also seek expert opinion. Linguists argue it would; however; be challenging for an automatic machine to be completely accurate; as language and vocabulary are ever-changing; reducing the effectiveness and accuracy. ,National,Germany,DE,Federal Office for Migration and Refugees (BAMF),Central-Government,Public order and safety,Public order and safety n.e.c.,Pilot,2017,,Perception,Audio processing,Machine learning,,,,Adjudication,Taking decisions on benefits  ,Artificial Intelligence,G2G,Dynamic Data,Streaming Data,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,x,,x,,x,,Open government capabilities,x,,,https://www.dw.com/en/automatic-speech-analysis-software-used-to-verify-refugees-dialects/a-37980819
52,Govbot -  Administrative search engine for citizens' enquiries , ,GovBot which is in use with the administrative search engine of the administration of the German State North Rhine-Westphalia. The search engine for administrative matters guarantees citizens easy and clear access to information. It indexes all websites of the state of North Rhine-Westphalia; the regional associations; many chambers; all districts and municipalities of the state of North Rhine-Westphalia and thus accesses over 12 million individual websites in a search index. Using their own search interface; users can search for administrative terms and problems; are pointed out to correct administrative terms with search word recommendations and; if necessary; are given specific responsibilities for a problem. The full text search result - broken down by administrative level - completes the offer; with a map section showing the specific location of the relevant authority. https://www.verwaltungssuchmaschine.nrw/,Regional,Germany,DE,Ministerium für Inneres und Kommunales des Landes Nordrhein-Westfalen,Central-Government,General public services,Executive and legislative organs; financial and fiscal affairs; external affairs.,Implemented,2017,,Communication,Natural language processing,Searching,,,chatbot,Internal management,Internal support processes,Artificial Intelligence,G2C,Dynamic Data,Dynamic Data,Improved Public Service,,,x,x,x,FALSE,FALSE,,,,,,,,FALSE,,,,https://publicplan.de/projekt/verwaltungssuchmaschine-nrw
